,picture_name,push_up_motion,center,lshoulder_lelbow,rshoulder_relbow,lelbow_lwrist,relbow_rwrist,lhip_lknee,rhip_rknee,lknee_lankle,rknee_rankle,lshoulder_lwrist,rshoulder_rwrist,lhip_lankle,rhip_rankle,lhip_lwrist,rhip_rwrist,lshoulder_lankle,rshoulder_rankle,lelbow_relbow,lknee_rknee,lwrist_rwrist,lankle_rankle,lshouder_lheel,rshoulder_rheel,lwrist_lfootindex,rwrist_rfootindex,agl_lshoulder_lelbow_lwrist,agl_rshoulder_relbow_rwrist,agl_lshoulder_lhip_lknee,agl_rshoulder_rhip_rknee,agl_lhip_lknee_lankle,agl_rhip_rknee_rankle,agl_lelbow_lshoulder_lhip,agl_relbow_rshoulder_rhip,agl_lelbow_lwrist_lindex1,agl_relbow_rwrist_rindex1
0,up (1).jpg,up,40.13605880737305,41.00156784057617,38.20314407348633,36.71893310546875,36.14185333251953,35.41552734375,32.5851936340332,34.064857482910156,32.046226501464844,77.54894256591797,72.84880828857422,69.3817138671875,63.9483642578125,78.12946319580078,66.79266357421875,112.08293151855469,99.35030364990234,65.18096160888672,33.39806365966797,55.41749572753906,37.3018798828125,116.03907775878906,103.62428283691406,98.77034759521484,82.48960876464844,179.0677524891413,175.5572711246522,161.6877523922409,161.25149454957383,173.98790857697102,167.99852935416519,73.42430135120529,63.37121911943032,101.57938294121737,124.6749572799418
1,up (10).jpg,up,40.19032287597656,39.08893585205078,37.04154968261719,39.21903991699219,36.451988220214844,35.73887252807617,32.99864196777344,34.32223129272461,31.758697509765625,78.20034790039062,72.39701843261719,69.8805923461914,63.815696716308594,77.08092498779297,63.78443145751953,112.85824584960938,99.706787109375,62.552120208740234,31.712907791137695,54.41633987426758,34.094425201416016,116.78984832763672,104.010009765625,95.02869415283203,78.85118103027344,178.26347039361562,177.26518724737056,160.62270733458246,161.89548576565767,172.55380107770014,167.1307674804934,70.94947792809955,60.55832865316563,110.63356366725631,122.7895245406948
2,up (100).jpg,up,40.30826187133789,36.87985610961914,39.74718475341797,33.045162200927734,34.68402099609375,37.04161834716797,36.48994827270508,38.38447570800781,38.744075775146484,63.16912841796875,72.66639709472656,74.53962707519531,74.77806091308594,58.17615509033203,76.23828887939453,105.6684799194336,115.02978515625,99.59101104736328,52.122161865234375,78.11017608642578,55.99182891845703,111.03095245361328,120.20836639404297,85.14751434326172,100.6722640991211,164.5260885008874,165.18992824669925,166.66914231524893,158.18565121512123,173.2437221282288,173.12162566662565,55.0229384441122,71.37179535467061,137.5927401505595,111.21198142484234
3,up (11).jpg,up,40.08369445800781,40.21500778198242,39.519813537597656,39.84804916381836,37.93313217163086,42.450374603271484,37.45607376098633,33.142826080322266,33.057621002197266,79.9643325805664,75.63729858398438,74.92365264892578,69.25949096679688,81.88687896728516,71.04261016845703,116.58888244628906,105.86495971679688,74.99958038330078,32.986228942871094,68.08175659179688,35.88154220581055,120.30701446533203,110.43448638916016,96.22822570800781,88.36935424804688,175.980783834328,174.1734747988076,150.37040214509656,156.89544578374984,164.27014765230868,166.35089648106134,71.03286087748707,65.92458971799121,107.54850382294495,120.20730322307978
4,up (12).jpg,up,40.467430114746094,44.845584869384766,39.76215744018555,37.09757995605469,38.46121597290039,42.98024368286133,38.67475128173828,33.47374725341797,33.29825973510742,81.92404174804688,77.03042602539062,75.61380004882812,70.61061096191406,84.98757934570312,74.2870101928711,116.58914184570312,107.60981750488281,66.50904083251953,32.8765983581543,58.808040618896484,35.613990783691406,120.51761627197266,111.91688537597656,94.70752716064453,92.06359100341797,177.5353758705579,173.80472654589695,146.82311607889378,153.18250030941755,162.71268693662734,165.2610305159591,73.44880123975813,68.83057566264317,107.43148902208429,127.67565062762517
5,up (13).jpg,up,40.57341384887695,43.9832649230957,40.12873458862305,37.6312370300293,39.45771789550781,42.37990188598633,38.02216720581055,34.17987823486328,33.47304916381836,81.59713745117188,78.17367553710938,75.86946868896484,70.35492706298828,85.24337005615234,74.67029571533203,117.19116973876953,107.68684387207031,67.70500183105469,33.100162506103516,58.88938903808594,35.17161560058594,121.40809631347656,112.5077133178711,95.15801239013672,91.16285705566406,177.88718525432694,174.13634589047942,148.47741521662755,155.3465774460444,164.41233853045,167.15102582157166,73.0249265300563,68.01233266045399,105.65823530976559,124.00447859025667
6,up (14).jpg,up,40.11074447631836,39.68428039550781,37.96066665649414,38.23904800415039,38.73388671875,38.63482666015625,35.28109359741211,32.344322204589844,32.41545867919922,77.65647888183594,73.8721923828125,70.2168960571289,66.28009033203125,74.91423034667969,64.35895538330078,112.93659210205078,103.4958724975586,75.96063232421875,36.540870666503906,61.709556579589844,39.645233154296875,116.92790222167969,108.14636993408203,88.94780731201172,84.2059097290039,175.86594103362341,172.9669082215465,157.51681541330257,163.7631463526843,163.48574140726774,165.54022132847254,63.11486845950141,58.583283832008064,106.86092233957811,120.13785385959909
7,up (15).jpg,up,40.49883270263672,42.8835334777832,39.865577697753906,38.91766357421875,40.17078399658203,41.180885314941406,36.76900100708008,33.63579177856445,33.39746856689453,81.76611328125,78.1744155883789,73.76615905761719,68.50084686279297,82.52935028076172,70.74848175048828,116.2371597290039,106.29975128173828,73.66227722167969,38.0969123840332,63.71030807495117,41.390045166015625,120.59847259521484,111.15562438964844,92.2562255859375,87.45291137695312,177.76581279277582,173.87884775876995,153.15362226960673,159.91581007624282,161.11748259559252,163.01743631701498,67.94435861783403,62.25609511477737,104.66274889861455,123.84814922053343
8,up (16).jpg,up,40.14691162109375,43.60316848754883,40.64905548095703,38.13528060913086,38.271244049072266,41.81404113769531,38.495365142822266,34.07088851928711,33.380672454833984,81.70320129394531,77.35433197021484,75.26080322265625,70.62137603759766,85.15348815917969,73.42617797851562,116.65396118164062,107.31320190429688,77.46343994140625,36.39521789550781,70.97557830810547,38.536705017089844,120.9332504272461,111.86494445800781,95.33613586425781,89.9169921875,177.57269602418287,173.1426080077559,148.81195788217477,153.53496539134687,165.05197208584335,164.5244219347299,72.95613286473593,67.36073261363477,96.74533021651916,116.98869952011634
9,up (17).jpg,up,40.200782775878906,44.94003677368164,40.282318115234375,37.26626205444336,38.839195251464844,43.680259704589844,37.956298828125,32.48166275024414,33.15847396850586,82.07780456542969,76.4963150024414,74.8467788696289,69.5163803100586,84.19471740722656,71.3467025756836,116.28140258789062,107.00871276855469,80.04833221435547,37.316307067871094,70.25419616699219,41.608341217041016,120.41741943359375,111.67344665527344,94.7919921875,90.50120544433594,175.82077982283127,172.05938098652692,149.26048274459117,157.20149290007976,158.23652246405948,163.5007131819284,70.13372111476825,64.72630133000418,106.94990604408503,123.36689409161431
